source,split,z_bin,threshold,n_lesion,n_over_threshold
real,train,21,60,56,20
real,train,21,75,56,17
real,train,21,80,56,17
real,train,21,90,56,12
real,train,21,100,56,11
real,train,22,0,59,59
real,train,22,50,59,20
real,train,22,60,59,15
real,train,22,75,59,14
real,train,22,80,59,14
real,train,22,90,59,14
real,train,22,100,59,13
real,train,23,0,79,79
real,train,23,50,79,26
real,train,23,60,79,23
real,train,23,75,79,20
real,train,23,80,79,20
real,train,23,90,79,19
real,train,23,100,79,17
real,train,24,0,42,42
real,train,24,50,42,20
real,train,24,60,42,15
real,train,24,75,42,11
real,train,24,80,42,10
real,train,24,90,42,9
real,train,24,100,42,7
real,train,25,0,35,35
real,train,25,50,35,14
real,train,25,60,35,10
real,train,25,75,35,6
real,train,25,80,35,5
real,train,25,90,35,5
real,train,25,100,35,3
real,train,26,0,44,44
real,train,26,50,44,12
real,train,26,60,44,9
real,train,26,75,44,6
real,train,26,80,44,4
real,train,26,90,44,3
real,train,26,100,44,3
real,train,27,0,14,14
real,train,27,50,14,5
real,train,27,60,14,4
real,train,27,75,14,3
real,train,27,80,14,3
real,train,27,90,14,2
real,train,27,100,14,2
real,train,28,0,13,13
real,train,28,50,13,4
real,train,28,60,13,3
real,train,28,75,13,2
real,train,28,80,13,2
real,train,28,90,13,2
real,train,28,100,13,2
real,train,29,0,13,13
real,train,29,50,13,1
real,train,29,60,13,1
real,train,29,75,13,1
real,train,29,80,13,1
real,train,29,90,13,1
real,train,29,100,13,1
real,val,0,0,0,0
real,val,0,50,0,0
real,val,0,60,0,0
real,val,0,75,0,0
real,val,0,80,0,0
real,val,0,90,0,0
real,val,0,100,0,0
real,val,1,0,0,0
real,val,1,50,0,0
real,val,1,60,0,0
real,val,1,75,0,0
real,val,1,80,0,0
real,val,1,90,0,0
real,val,1,100,0,0
real,val,2,0,0,0
real,val,2,50,0,0
real,val,2,60,0,0
real,val,2,75,0,0
real,val,2,80,0,0
real,val,2,90,0,0
real,val,2,100,0,0
real,val,3,0,0,0
real,val,3,50,0,0
real,val,3,60,0,0
real,val,3,75,0,0
real,val,3,80,0,0
real,val,3,90,0,0
real,val,3,100,0,0
real,val,4,0,0,0
real,val,4,50,0,0
real,val,4,60,0,0
real,val,4,75,0,0
real,val,4,80,0,0
real,val,4,90,0,0
real,val,4,100,0,0
real,val,5,0,0,0
real,val,5,50,0,0
real,val,5,60,0,0
real,val,5,75,0,0
real,val,5,80,0,0
real,val,5,90,0,0
real,val,5,100,0,0
real,val,6,0,2,2
real,val,6,50,2,0
real,val,6,60,2,0
real,val,6,75,2,0
real,val,6,80,2,0
real,val,6,90,2,0
real,val,6,100,2,0
real,val,7,0,4,4
real,val,7,50,4,1
real,val,7,60,4,1
real,val,7,75,4,1
real,val,7,80,4,1
real,val,7,90,4,1
real,val,7,100,4,1
real,val,8,0,4,4
real,val,8,50,4,2
real,val,8,60,4,2
real,val,8,75,4,2
real,val,8,80,4,2
real,val,8,90,4,2
real,val,8,100,4,2
real,val,9,0,6,6
real,val,9,50,6,2
real,val,9,60,6,2
real,val,9,75,6,2
real,val,9,80,6,2
real,val,9,90,6,2
real,val,9,100,6,2
real,val,10,0,14,14
real,val,10,50,14,5
real,val,10,60,14,3
real,val,10,75,14,3
real,val,10,80,14,3
real,val,10,90,14,3
real,val,10,100,14,3
real,val,11,0,8,8
real,val,11,50,8,5
real,val,11,60,8,2
real,val,11,75,8,2
real,val,11,80,8,2
real,val,11,90,8,2
real,val,11,100,8,2
real,val,12,0,8,8
real,val,12,50,8,2
real,val,12,60,8,2
real,val,12,75,8,2
real,val,12,80,8,2
real,val,12,90,8,2
real,val,12,100,8,2
real,val,13,0,12,12
real,val,13,50,12,3
real,val,13,60,12,3
real,val,13,75,12,3
real,val,13,80,12,3
real,val,13,90,12,3
real,val,13,100,12,3
real,val,14,0,5,5
real,val,14,50,5,4
real,val,14,60,5,3
real,val,14,75,5,3
real,val,14,80,5,3
real,val,14,90,5,3
real,val,14,100,5,3
real,val,15,0,4,4
real,val,15,50,4,4
real,val,15,60,4,4
real,val,15,75,4,4
real,val,15,80,4,4
real,val,15,90,4,4
real,val,15,100,4,4
real,val,16,0,6,6
real,val,16,50,6,6
real,val,16,60,6,6
real,val,16,75,6,6
real,val,16,80,6,6
real,val,16,90,6,6
real,val,16,100,6,6
real,val,17,0,4,4
real,val,17,50,4,4
real,val,17,60,4,4
real,val,17,75,4,4
real,val,17,80,4,4
real,val,17,90,4,4
real,val,17,100,4,4
real,val,18,0,4,4
real,val,18,50,4,4
real,val,18,60,4,4
real,val,18,75,4,4
real,val,18,80,4,4
real,val,18,90,4,4
real,val,18,100,4,4
real,val,19,0,4,4
real,val,19,50,4,4
real,val,19,60,4,4
real,val,19,75,4,4
real,val,19,80,4,4
real,val,19,90,4,4
real,val,19,100,4,4
real,val,20,0,6,6
real,val,20,50,6,6
real,val,20,60,6,6
real,val,20,75,6,6
real,val,20,80,6,6
real,val,20,90,6,6
real,val,20,100,6,6
real,val,21,0,4,4
real,val,21,50,4,3
real,val,21,60,4,3
real,val,21,75,4,3
real,val,21,80,4,3
real,val,21,90,4,3
real,val,21,100,4,3
real,val,22,0,3,3
real,val,22,50,3,2
real,val,22,60,3,2
real,val,22,75,3,2
real,val,22,80,3,2
real,val,22,90,3,2
real,val,22,100,3,2
real,val,23,0,3,3
real,val,23,50,3,3
real,val,23,60,3,3
real,val,23,75,3,3
real,val,23,80,3,3
real,val,23,90,3,3
real,val,23,100,3,3
real,val,24,0,2,2
real,val,24,50,2,2
real,val,24,60,2,2
real,val,24,75,2,2
real,val,24,80,2,2
real,val,24,90,2,2
real,val,24,100,2,2
real,val,25,0,2,2
real,val,25,50,2,2
real,val,25,60,2,2
real,val,25,75,2,2
real,val,25,80,2,2
real,val,25,90,2,2
real,val,25,100,2,2
real,val,26,0,3,3
real,val,26,50,3,3
real,val,26,60,3,3
real,val,26,75,3,3
real,val,26,80,3,3
real,val,26,90,3,3
real,val,26,100,3,3
real,val,27,0,2,2
real,val,27,50,2,2
real,val,27,60,2,2
real,val,27,75,2,2
real,val,27,80,2,1
real,val,27,90,2,1
real,val,27,100,2,1
real,val,28,0,2,2
real,val,28,50,2,1
real,val,28,60,2,0
real,val,28,75,2,0
real,val,28,80,2,0
real,val,28,90,2,0
real,val,28,100,2,0
real,val,29,0,1,1
real,val,29,50,1,0
real,val,29,60,1,0
real,val,29,75,1,0
real,val,29,80,1,0
real,val,29,90,1,0
real,val,29,100,1,0
synthetic,train,0,0,481,481
synthetic,train,0,50,481,0
synthetic,train,0,60,481,0
synthetic,train,0,75,481,0
synthetic,train,0,80,481,0
synthetic,train,0,90,481,0
synthetic,train,0,100,481,0
synthetic,train,1,0,742,742
synthetic,train,1,50,742,1
synthetic,train,1,60,742,0
synthetic,train,1,75,742,0
synthetic,train,1,80,742,0
synthetic,train,1,90,742,0
synthetic,train,1,100,742,0
synthetic,train,2,0,741,741
synthetic,train,2,50,741,2
synthetic,train,2,60,741,2
synthetic,train,2,75,741,0
synthetic,train,2,80,741,0
synthetic,train,2,90,741,0
synthetic,train,2,100,741,0
synthetic,train,3,0,715,715
synthetic,train,3,50,715,305
synthetic,train,3,60,715,204
synthetic,train,3,75,715,1
synthetic,train,3,80,715,1
synthetic,train,3,90,715,0
synthetic,train,3,100,715,0
synthetic,train,4,0,652,652
synthetic,train,4,50,652,584
synthetic,train,4,60,652,484
synthetic,train,4,75,652,0
synthetic,train,4,80,652,0
synthetic,train,4,90,652,0
synthetic,train,4,100,652,0
synthetic,train,5,0,701,701
synthetic,train,5,50,701,208
synthetic,train,5,60,701,53
synthetic,train,5,75,701,14
synthetic,train,5,80,701,4
synthetic,train,5,90,701,0
synthetic,train,5,100,701,0
synthetic,train,6,0,654,654
synthetic,train,6,50,654,217
synthetic,train,6,60,654,172
synthetic,train,6,75,654,44
synthetic,train,6,80,654,42
synthetic,train,6,90,654,16
synthetic,train,6,100,654,2
synthetic,train,7,0,661,661
synthetic,train,7,50,661,309
synthetic,train,7,60,661,203
synthetic,train,7,75,661,54
synthetic,train,7,80,661,52
synthetic,train,7,90,661,41
synthetic,train,7,100,661,25
synthetic,train,8,0,552,552
synthetic,train,8,50,552,199
synthetic,train,8,60,552,196
synthetic,train,8,75,552,181
synthetic,train,8,80,552,174
synthetic,train,8,90,552,100
synthetic,train,8,100,552,24
synthetic,train,9,0,583,583
synthetic,train,9,50,583,229
synthetic,train,9,60,583,171
synthetic,train,9,75,583,94
synthetic,train,9,80,583,86
synthetic,train,9,90,583,58
synthetic,train,9,100,583,41
synthetic,train,10,0,592,592
synthetic,train,10,50,592,338
synthetic,train,10,60,592,242
synthetic,train,10,75,592,98
synthetic,train,10,80,592,60
synthetic,train,10,90,592,47
synthetic,train,10,100,592,42
synthetic,train,11,0,591,591
synthetic,train,11,50,591,313
synthetic,train,11,60,591,260
synthetic,train,11,75,591,127
synthetic,train,11,80,591,81
synthetic,train,11,90,591,46
synthetic,train,11,100,591,36
synthetic,train,12,0,612,612
synthetic,train,12,50,612,364
synthetic,train,12,60,612,319
synthetic,train,12,75,612,245
synthetic,train,12,80,612,198
synthetic,train,12,90,612,159
synthetic,train,12,100,612,102
synthetic,train,13,0,594,594
synthetic,train,13,50,594,342
synthetic,train,13,60,594,306
synthetic,train,13,75,594,248
synthetic,train,13,80,594,242
synthetic,train,13,90,594,231
synthetic,train,13,100,594,196
synthetic,train,14,0,643,643
synthetic,train,14,50,643,392
synthetic,train,14,60,643,359
synthetic,train,14,75,643,289
synthetic,train,14,80,643,279
synthetic,train,14,90,643,189
synthetic,train,14,100,643,144
synthetic,train,15,0,535,535
synthetic,train,15,50,535,254
synthetic,train,15,60,535,232
synthetic,train,15,75,535,174
synthetic,train,15,80,535,154
synthetic,train,15,90,535,103
synthetic,train,15,100,535,42
synthetic,train,16,0,601,601
synthetic,train,16,50,601,258
synthetic,train,16,60,601,199
synthetic,train,16,75,601,112
synthetic,train,16,80,601,109
synthetic,train,16,90,601,82
synthetic,train,16,100,601,54
synthetic,train,17,0,561,561
synthetic,train,17,50,561,316
synthetic,train,17,60,561,246
synthetic,train,17,75,561,166
synthetic,train,17,80,561,151
synthetic,train,17,90,561,123
synthetic,train,17,100,561,99
synthetic,train,18,0,590,590
synthetic,train,18,50,590,370
synthetic,train,18,60,590,346
synthetic,train,18,75,590,211
synthetic,train,18,80,590,190
synthetic,train,18,90,590,170
synthetic,train,18,100,590,139
synthetic,train,19,0,598,598
synthetic,train,19,50,598,382
synthetic,train,19,60,598,319
synthetic,train,19,75,598,253
synthetic,train,19,80,598,214
synthetic,train,19,90,598,176
synthetic,train,19,100,598,156
synthetic,train,20,0,595,595
synthetic,train,20,50,595,326
synthetic,train,20,60,595,266
synthetic,train,20,75,595,209
synthetic,train,20,80,595,199
synthetic,train,20,90,595,160
synthetic,train,20,100,595,148
synthetic,train,21,0,596,596
synthetic,train,21,50,596,287
synthetic,train,21,60,596,263
synthetic,train,21,75,596,228
synthetic,train,21,80,596,215
synthetic,train,21,90,596,164
synthetic,train,21,100,596,146
synthetic,train,22,0,614,614
synthetic,train,22,50,614,280
synthetic,train,22,60,614,227
synthetic,train,22,75,614,213
